ID,Title,Abstract,Keywords,Journal,processed_text
10,HPLC 2015.,"The HPLC 2015 Conference was held from 21 to 25 June at the International Conference Center in Geneva, Switzerland. The emphasis of the meeting was around fundamental aspects of separations, sample preparation, novel developments and applications and hyphenation with MS. In this conference report, a selection of highlights of the Conference is given, based on the sessions attended by the authors, and focusing on subjects with possible relevance in the field of drug metabolism and bioanalysis. Selected papers from HPLC 2015 will be published in a virtual special issue of the Journal of Chromatography.","biopharmaceuticals, ion mobility, metabolomics, multidimensional separations, supercritical fluid chromatography",Bioanalysis,hplc confer held june intern confer center geneva switzerland emphasi meet around fundament aspect separ sampl prepar novel develop applic hyphen confer report select highlight confer given base session attend author focus subject possibl relev field drug metabol bioanalysi select paper hplc publish virtual special issu journal chromatographi hplc
11,Tablets made from paper.,"The possibility to compress ordinary paper into tablets was systematically investigated in this study. Results proved that tablets can be made from paper, independent of the type of paper used. The tablets appear shiny and with a smooth surface. The pharmaceutical quality was acceptable, i.e. all tablets fulfilled the requirements for tablets according to the European Pharmacopeia. Drug-loaded tablets were produced by compression of drug-loaded paper. Drug loading did not alter the pharmaceutical quality. However, the uncoated tablets possessed an extremely fast disintegration, i.e. intense swelling upon contact with water, which might hamper the swallowing after oral administration. To avoid swelling tablets were successfully coated with a polymer film, leading to a prevention of swelling but immediate disintegration in simulated gastric fluid. In fact, tablets made from paper are a novel and promising strategy for improved oral drug delivery. They can be easily produced without any further excipients and possess pharmaceutical quality according to the European Pharmacopeia.","drug release, individualized therapy, oral drug delivery, paper, poorly soluble apis, tablets, tissue",International Journal Of Pharmaceutics,possibl compress ordinari paper tablet systemat investig studi result prove tablet made paper independ type paper use tablet appear shini smooth surfac pharmaceut qualiti accept tablet fulfil requir tablet accord european pharmacopeia tablet produc compress paper drug load alter pharmaceut qualiti howev uncoat tablet possess extrem fast disintegr intens swell upon contact water might hamper swallow oral administr avoid swell tablet success coat polym film lead prevent swell immedi disintegr simul gastric fluid fact tablet made paper novel promis strategi improv oral drug deliveri easili produc without excipi possess pharmaceut qualiti accord european pharmacopeia tablet made paper
12,Retracted papers originating from paper mills: a cross-sectional analysis of references and citations.,The aims of this study are (1) to analyze the references cited by retracted papers originated from paper mills; (2) to analyze the citations received by retracted papers originated from paper mills; and (3) to analyze the potential relationships existing between paper mill papers and their references and their citations.,"bibliometric analyses, ethics, paper mills, research integrity, retraction, scientific misconduct",Journal Of Clinical Epidemiology,aim studi analyz refer cite retract paper origin paper mill analyz citat receiv retract paper origin paper mill analyz potenti relationship exist paper mill paper refer citat retract paper origin paper mill analysi refer citat
13,Additive Manufacturing Technologies for Drug Delivery Applications.,"Patient to patient variability is one of the issues when administering medications to individuals with different health conditions, pharmacokinetic, age, fitness, gender, and race. This requires introducing smart and personalised drug delivery systems with controlled release profile manufactured using novel approaches. Additive manufacturing (AM) provides opportunities such as full customisation, design freedom, and on-site manufacturing, and materials recycling. As a result, the academic and industrial demand for additive manufacturing for drug delivery has been continuously increasing and showing impressive results for a wide range of products. This paper provides an extensive overview of AM technologies and their applications for drug delivery. The review discusses AM technologies including their working principles, processed materials, as well as current progress in drug delivery to produce personalized dosages for every patient with controlled release profile. AM potentials, industrial scale, and challenges are investigated with regards to practice and industrial applications. The paper covers novel possibilities of AM technologies and their pharmaceuticals applications, which indicate a promising healthcare future.","additive manufacturing, drug delivery, personalised mediations, polypill",International Journal Of Pharmaceutics,patient patient variabl one issu administ medic individu differ health condit pharmacokinet age fit gender race requir introduc smart personalis drug deliveri system control releas profil manufactur use novel approach addit manufactur provid opportun full customis design freedom manufactur materi recycl result academ industri demand addit manufactur drug deliveri continu increas show impress result wide rang product paper provid extens overview technolog applic drug deliveri review discus technolog includ work principl process materi well current progress drug deliveri produc person dosag everi patient control releas profil potenti industri scale challeng investig regard practic industri applic paper cover novel possibl technolog pharmaceut applic indic promis healthcar futur addit manufactur technolog drug deliveri applic
14,Episiotomy and the medicalization make childbirth worse for women.,No abstract available,no keywords,Sexual & Reproductive Healthcare : Official Journal Of The Swedish Association Of Midwives,abstract avail episiotomi medic make childbirth wors woman
15,Portable analytical platforms for forensic chemistry: A review.,"This current review article focuses on recent contributions to on-site forensic investigations. Portable and potentially portable methods are presented and critically discussed about (bio)chemical trace analysis and studies performed outside the controlled laboratory environment to rapidly help in crime scene inquiries or forensic intelligence purposes. A wide range of approaches including electrochemical sensors, microchip electrophoresis, ambient ionization on portable mass spectrometers, handheld Raman and NIR instruments as well as and point-of-need devices, like paper-based platforms, for in-field analysis of latent evidences, controlled substances, drug screening, hazards, and others to assist in law enforcements and solving crime more efficiently are highlighted. The covered examples have successfully demonstrated the huge potential of portable devices for on-site applications. Future investigations should consider analytical validation to compete equality and even replace current gold standard methods.","crime scene investigation, drugs of abuse, explosives, forensics, on-site analysis, point-of-care testing",Analytica Chimica Acta,current review articl focus recent contribut forens investig portabl potenti portabl method present critic discus bio chemic trace analysi studi perform outsid control laboratori environ rapidli help crime scene inquiri forens intellig purpos wide rang approach includ electrochem sensor microchip electrophoresi ambient ioniz portabl mass spectromet handheld raman nir instrument well devic like platform analysi latent evid control substanc drug screen hazard other assist law enforc solv crime effici highlight cover exampl success demonstr huge potenti portabl devic applic futur investig consid analyt valid compet equal even replac current gold standard method portabl analyt platform forens chemistri review
16,[Concepts. Minimally disruptive medicine].,"This paper presents some concepts about overdiagnosis and its consequences: overtreatment and the medicalization of the society. It recalls the origin of the term, that comes from the screening and diagnosis of cancer, and it reviews the strategies to overdiagnose. Furthermore, it analyses the conversion of illnesses diagnostic thresholds as well as the transformation of normal and vital processes and risk factors in illnesses. It shows some strategies to confront overdiagnosis at the time of medical consultation, including the management of uncertainty and the shared decision making through the right interpretation of the diagnosis results and treatment estimators. Finally, it shows the minimally disruptive medicine as the best strategy to face the disease burden induced by the overtreatment in patients suffering from multimorbidity.","atención centrada en el paciente, evidence based medicine, medical overuse, medicina basada en la evidencia, multimorbidity, multimorbilidad, patient centered care, sobrediagnóstico",Atencion Primaria,paper present concept overdiagnosi consequ overtreat medic societi recal origin term come screen diagnosi cancer review strategi overdiagnos furthermor analys convers ill diagnost threshold well transform normal vital process risk factor ill show strategi confront overdiagnosi time medic consult includ manag uncertainti share decis make right interpret diagnosi result treatment estim final show minim disrupt medicin best strategi face diseas burden induc overtreat patient suffer multimorbid concept minim disrupt medicin
17,"Pharmaceutical cocrystals, salts and polymorphs: Advanced characterization techniques.","The main goal of a novel drug development is to obtain it with optimal physiochemical, pharmaceutical and biological properties. Pharmaceutical companies and scientists modify active pharmaceutical ingredients (APIs), which often are cocrystals, salts or carefully selected polymorphs, to improve the properties of a parent drug. To find the best form of a drug, various advanced characterization methods should be used. In this review, we have described such analytical methods, dedicated to solid drug forms. Thus, diffraction, spectroscopic, thermal and also pharmaceutical characterization methods are discussed. They all are necessary to study a solid API in its intrinsic complexity from bulk down to the molecular level, gain information on its structure, properties, purity and possible transformations, and make the characterization efficient, comprehensive and complete. Furthermore, these methods can be used to monitor and investigate physical processes, involved in the drug development, in situ and in real time. The main aim of this paper is to gather information on the current advancements in the analytical methods and highlight their pharmaceutical relevance.","active pharmaceutical ingredient, crystallographic studies, drug, nmr crystallography, solubility, spectroscopic characterization, stability, thermal analysis",Advanced Drug Delivery Reviews,main goal novel drug develop obtain optim physiochem pharmaceut biolog properti pharmaceut compani scientist modifi activ pharmaceut ingredi api often cocryst salt care select polymorph improv properti parent drug find best form drug variou advanc character method use review describ analyt method dedic solid drug form thu diffract spectroscop thermal also pharmaceut character method discus necessari studi solid api intrins complex bulk molecular level gain inform structur properti puriti possibl transform make character effici comprehens complet furthermor method use monitor investig physic process involv drug develop situ real time main aim paper gather inform current advanc analyt method highlight pharmaceut relev pharmaceut cocryst salt polymorph advanc character techniqu
18,The concept of medicalisation reassessed.,"Medicalisation has been an important concept in sociological discussions of medicine since its adoption by medical sociologists in the early 1970s. Yet it has been criticised by some sociologists, in part because it seems too negative about medicine, and modified or replaced by others with concepts deemed more relevant like biomedicalisation and pharmaceuticalisation. My aim in this paper is to reassess the concept and consider whether it still has value in exploring significant aspects of the role of medicine in present-day society. I start with an archaeology of the concept's development and the different ways it has been used. This covers some familiar ground but is essential to the main task: examining criticisms of the concept and assessing its value. I conclude that the concept continues to have a crucial and productive place in sociological analyses of medicine and that the process of medicalisation is still a key feature of late-modern social life and culture.","medical practice/medical work, medicalisation, pharmaceuticals/pharmaceutical companies, power, professions/professionalisation",Sociology Of Health & Illness,medicalis import concept sociolog discus medicin sinc adopt medic sociologist earli yet criticis sociologist part seem neg medicin modifi replac other concept deem relev like biomedicalis pharmaceuticalis aim paper reassess concept consid whether still valu explor signific aspect role medicin societi start archaeolog concept develop differ way use cover familiar ground essenti main task examin critic concept assess valu conclud concept continu crucial product place sociolog analys medicin process medicalis still key featur social life cultur concept medicalis reassess
19,In vivo deposition of poorly soluble drugs.,"Administered drug molecules, whether dissolved or solubilized, have the potential to precipitate and accumulate as solid forms in tissues and cells within the body. This phase transition can significantly impact the pharmacokinetics of treatment. It is thus crucial to gain an understanding of how drug solubility/permeability, drug formulations and routes of administration affect in vivo behaviors of drug deposition. This review examines literature reports on the drug deposition in tissues and cells of poorly water-soluble drugs, as well as underlying physical mechanisms that lead to precipitation. Our work particularly highlights drug deposition in macrophages and the subcellular fate of precipitated drugs. We also propose a tissue permeability-based classification framework to evaluate precipitation potentials of poorly soluble drugs in major organs and tissues. The impact on pharmacokinetics is further discussed and needs to be considered in developing drug delivery systems. Finally, bioimaging techniques that are used to examine aggregated states and the intracellular trafficking of absorbed drugs are summarized.","bioimaging, drug precipitation, lipophilic drug, lysosomal-trapping, macrophage sequestration, tissue permeability",Advanced Drug Delivery Reviews,administ drug molecul whether dissolv solubil potenti precipit accumul solid form tissu cell within bodi phase transit significantli impact pharmacokinet treatment thu crucial gain understand drug drug formul rout administr affect vivo behavior drug deposit review examin literatur report drug deposit tissu cell poorli drug well underli physic mechan lead precipit work particularli highlight drug deposit macrophag subcellular fate precipit drug also propos tissu classif framework evalu precipit potenti poorli solubl drug major organ tissu impact pharmacokinet discus need consid develop drug deliveri system final bioimag techniqu use examin aggreg state intracellular traffick absorb drug summar vivo deposit poorli solubl drug
20,Modular design principle based on compartmental drug delivery systems.,"The current manufacturing solutions for oral solid dosage forms are fundamentally based on technologies from the 19th century. This approach is well suited for mass production of one-size-fits-all products; however, it does not allow for a straight-forward personalization and mass customization of the pharmaceutical end-product. In order to provide better therapies to the patients, a need for innovative manufacturing concepts and product design principles has been rising. Additive manufacturing opens up a possibility for compartmentalization of drug products, including design of spatially separated multidrug and functional excipient compartments. This compartmentalized solution can be further expanded to modular design thinking. Modular design is referring to combination of building blocks containing a given amount of drug compound(s) and related functional excipients into a larger final product. Implementation of modular design principles is paving the way for implementing the emerging personalization potential within health sciences by designing compartmental and reactive product structures that can be manufactured based on the individual needs of each patient. This review will introduce the existing compartmentalized product design principles and discuss the integration of these into edible electronics allowing for innovative control of drug release.","3d printing, additive manufacturing, compartmental systems, digital reconstruction, drug delivery, ingestible electronics, intellectual property, modular systems, smart medications",Advanced Drug Delivery Reviews,current manufactur solut oral solid dosag form fundament base technolog centuri approach well suit mass product product howev allow person mass custom pharmaceut order provid better therapi patient need innov manufactur concept product design principl rise addit manufactur open possibl compartment drug product includ design spatial separ multidrug function excipi compart compartment solut expand modular design think modular design refer combin build block contain given amount drug compound relat function excipi larger final product implement modular design principl pave way implement emerg person potenti within health scienc design compartment reactiv product structur manufactur base individu need patient review introduc exist compartment product design principl discus integr edibl electron allow innov control drug releas modular design principl base compartment drug deliveri system
21,Metabolic activation of carboxylic acids.,"Carboxylic acids constitute a large and heterogeneous class of both endogenous and xenobiotic compounds. A number of carboxylic acid drugs have been associated with adverse reactions, linked to the metabolic activation of the carboxylic acid moiety of the compounds, i.e., formation of acyl-glucuronides and acyl-CoA thioesters.",no keywords,Expert Opinion On Drug Metabolism & Toxicology,carboxyl acid constitut larg heterogen class endogen xenobiot compound number carboxyl acid drug associ advers reaction link metabol activ carboxyl acid moieti compound format thioester metabol activ carboxyl acid
22,Therapeutic management in the low-wage workplace.,"Medicalization represents an increasingly significant form of social control. Emergent evidence suggests that workplace managers take up medicalized practices and discourses to produce a compliant labor force, but this phenomenon has received limited sociological attention. This paper extends prior theories of medicalization to investigate therapeutic management in the low-wage workplace. I draw upon eight months of ethnographic fieldwork in Disability Works, a nonprofit job training program for people with mental illnesses, and interviews with other providers and advocates within this field. Disability Works harnesses therapy, psychiatry, and ""softer"" therapeutic practices such as mindfulness meditation, sleep hygiene, and positive affirmations to produce its workforce. This paper identifies two dimensions of therapeutic management: (1) it aims to inculcate work norms at the level of client-workers' embodied dispositions, and (2) it aims to transform structural problems into individual ones. Findings illuminate therapeutic management as an emergent workplace regime and may guide future research on its effects.",no keywords,Social Science & Medicine (1982),medic repres increasingli signific form social control emerg evid suggest workplac manag take medic practic discours produc compliant labor forc phenomenon receiv limit sociolog attent paper extend prior theori medic investig therapeut manag workplac draw upon eight month ethnograph fieldwork disabl work nonprofit job train program peopl mental ill interview provid advoc within field disabl work har therapi psychiatri softer therapeut practic mind medit sleep hygien posit affirm produc workforc paper identifi two dimens therapeut manag aim inculc work norm level embodi disposit aim transform structur problem individu one find illumin therapeut manag emerg workplac regim may guid futur research effect therapeut manag workplac
23,Quaternary prevention: reviewing the concept.,"According to the Wonca International Dictionary for General/Family Practice Quaternary Prevention is defined as: 'Action taken to identify patient at risk of overmedicalization, to protect him from new medical invasion, and to suggest to him interventions, which are ethically acceptable.' The concept of quaternary prevention was initially proposed by Marc Jamoulle and the targets were mainly patients with illness but without a disease.","prevention, health ethics, overdiagnosis, patient involvement (empowerment, quaternary prevention, self-management)",The European Journal Of General Practice,accord wonca intern dictionari practic quaternari prevent defin taken identifi patient risk overmedic protect new medic invas suggest intervent ethic accept concept quaternari prevent initi propos marc jamoul target mainli patient ill without diseas quaternari prevent review concept
24,Advances in paper-analytical methods for pharmaceutical analysis.,"Paper devices have many advantages over other microfluidic devices. The paper substrate, from cellulose to glass fiber, is an inexpensive substrate that can be readily modified to suit a variety of applications. Milli- to micro-scale patterns can be designed to create a fast, cost-effective device that uses small amounts of reagents and samples. Finally, well-established chemical and biological methods can be adapted to paper to yield a portable device that can be used in resource-limited areas (e.g., field work). Altogether, the paper devices have grown into reliable analytical devices for screening low quality pharmaceuticals. This review article presents fabrication processes, detection techniques, and applications of paper microfluidic devices toward pharmaceutical screening.","detection methods, drug delivery, fabrication techniques, low quality pharmaceuticals, resource-limited settings",European Journal Of Pharmaceutical Sciences : Official Journal Of The European Federation For Pharmaceutical Sciences,paper devic mani advantag microfluid devic paper substrat cellulos glass fiber inexpens substrat readili modifi suit varieti applic pattern design creat fast devic use small amount reagent sampl final chemic biolog method adapt paper yield portabl devic use area field work altogeth paper devic grown reliabl analyt devic screen low qualiti pharmaceut review articl present fabric process detect techniqu applic paper microfluid devic toward pharmaceut screen advanc method pharmaceut analysi
25,Sustainable restoration: the contribution of algae.,"The application of algae to the most meaningful fields of our life, such as food, environment and energy, finds a further confirmation in the extension of this application to cultural heritage protection. In this letter, we present the results of a preliminary study testing how a polysaccharide extracted from algal matrix can restore degraded paper giving back it mechanical strength and chemical structure.","algae, conservation, cultural heritage, paper",Natural Product Research,applic alga meaning field life food environ energi find confirm extens applic cultur heritag protect letter present result preliminari studi test polysaccharid extract algal matrix restor degrad paper give back mechan strength chemic structur sustain restor contribut alga
26,Should UK based Physiotherapists Choose Wisely?,"In 2012 the Choose Wisely campaign was launched in the United States in order to address concerns regarding medicalisation, over diagnosis and medical consumerism. The campaign has now spread internationally and includes a number of countries including Canada, Australia, New Zealand and Germany. The primary aim of the campaign is to facilitate healthcare professionals and patients to question the overall utility of medical interventions. Professionals through their professional organisations identify at least five commonly used interventions or tests, within their areas of speciality, which they feel provided no or little benefit to patients. This paper provides the background to the Choose Wisely campaign. The paper reviews the concepts of medicalisation, over diagnosis and medical consumerism, before considering the utility of the campaign in the UK alongside other forms of governance such as NICE. The paper goes on to consider distributive justice as the principal ethical issue related to the campaign. The paper concludes by asking if UK based Physiotherapists should Choose Wisely.","choose wisely, evidence-based practice, low value care, physiotherapy",Physiotherapy,choos wise campaign launch unit state order address concern regard medicalis diagnosi medic consumer campaign spread intern includ number countri includ canada australia new zealand germani primari aim campaign facilit healthcar profession patient question overal util medic intervent profession profession organis identifi least five commonli use intervent test within area special feel provid littl benefit patient paper provid background choos wise campaign paper review concept medicalis diagnosi medic consumer consid util campaign uk alongsid form govern nice paper goe consid distribut justic princip ethic issu relat campaign paper conclud ask uk base physiotherapist choos wise uk base physiotherapist choos wise
27,Optimization of the development of latent fingermarks on thermal papers.,"Thermal papers, commonly used for printed receipts or lottery tickets, are omnipresent in our everyday life. They are regarded as semi-porous substrates, and yet can be critical to analyze when looking for latent fingermarks due to their thermosensibility. The aim of this study was to investigate a development sequence that would better combine the adequate detection techniques in order to maximize the chances to develop latent fingermarks left on these substrates. Different methods of development have been compared on test substrates: black magnetic powder, Lumicyano™, thermal development, ninhydrin and 1,2-indanedione/ZnCl<sub>2</sub>. Whitening stages and thermal development have been focused on, tested and optimized. The results of these preliminary tests enabled the study of three development sequences. They have subsequently been compared to the one currently used in the Gendarmerie's laboratories and the best results have been provided during pseudo-operational comparative trials by one of these sequences, consisting in 6 stages.","2-indanedione/zncl, lumicyano™, ninhydrin, thermal development, whitening",Forensic Science International,thermal paper commonli use print receipt lotteri ticket omnipres everyday life regard substrat yet critic analyz look latent fingermark due thermosens aim studi investig develop sequenc would better combin adequ detect techniqu order maxim chanc develop latent fingermark left substrat differ method develop compar test substrat black magnet powder thermal develop ninhydrin sub whiten stage thermal develop focus test optim result preliminari test enabl studi three develop sequenc subsequ compar one current use gendarmeri laboratori best result provid compar trial one sequenc consist stage optim develop latent fingermark thermal paper
