Title,Authors,Abstract,Publication Date,Journal,Keywords,MeSH Terms,DOI,Author Affiliations
HPLC 2015.,"Ronald de Vries, Valerie Koppen","The HPLC 2015 Conference was held from 21 to 25 June at the International Conference Center in Geneva, Switzerland. The emphasis of the meeting was around fundamental aspects of separations, sample preparation, novel developments and applications and hyphenation with MS. In this conference report, a selection of highlights of the Conference is given, based on the sessions attended by the authors, and focusing on subjects with possible relevance in the field of drug metabolism and bioanalysis. Selected papers from HPLC 2015 will be published in a virtual special issue of the Journal of Chromatography.",2015,Bioanalysis,"biopharmaceuticals, ion mobility, metabolomics, multidimensional separations, supercritical fluid chromatography","Biological Products, Chromatography, High Pressure Liquid, Mass Spectrometry, Metabolomics, Pharmaceutical Preparations",10.4155/bio.15.169,"Janssen Research & Development, Beerse, Belgium., Janssen Research & Development, Beerse, Belgium."
Tablets made from paper.,"Florian Stumpf, Cornelia M Keck","The possibility to compress ordinary paper into tablets was systematically investigated in this study. Results proved that tablets can be made from paper, independent of the type of paper used. The tablets appear shiny and with a smooth surface. The pharmaceutical quality was acceptable, i.e. all tablets fulfilled the requirements for tablets according to the European Pharmacopeia. Drug-loaded tablets were produced by compression of drug-loaded paper. Drug loading did not alter the pharmaceutical quality. However, the uncoated tablets possessed an extremely fast disintegration, i.e. intense swelling upon contact with water, which might hamper the swallowing after oral administration. To avoid swelling tablets were successfully coated with a polymer film, leading to a prevention of swelling but immediate disintegration in simulated gastric fluid. In fact, tablets made from paper are a novel and promising strategy for improved oral drug delivery. They can be easily produced without any further excipients and possess pharmaceutical quality according to the European Pharmacopeia.",2018,International journal of pharmaceutics,"Drug release, Individualized therapy, Oral drug delivery, Paper, Poorly soluble APIs, Tablets, Tissue","Chemistry, Pharmaceutical, Drug Liberation, Paper, Tablets",10.1016/j.ijpharm.2018.05.071,"Department of Pharmaceutics and Biopharmaceutics, Philipps-Universität Marburg, Marburg, Germany., Department of Pharmaceutics and Biopharmaceutics, Philipps-Universität Marburg, Marburg, Germany. Electronic address: cornelia.keck@pharmazie.uni-marburg.de."
Retracted papers originating from paper mills: a cross-sectional analysis of references and citations.,"Cristina Candal-Pedreira, Carla Guerra-Tort, Alberto Ruano-Ravina, Fabián Freijedo-Farinas, Julia Rey-Brandariz, Joseph S Ross, Mónica Pérez-Ríos",The aims of this study are (1) to analyze the references cited by retracted papers originated from paper mills; (2) to analyze the citations received by retracted papers originated from paper mills; and (3) to analyze the potential relationships existing between paper mill papers and their references and their citations.,2024,Journal of clinical epidemiology,"Bibliometric analyses, Ethics, Paper mills, Research integrity, Retraction, Scientific misconduct","Cross-Sectional Studies, Retraction of Publication as Topic, Humans, Bibliometrics, Paper, Periodicals as Topic",10.1016/j.jclinepi.2024.111397,"Preventive Medicine and Public Health, University of Santiago de Compostela, Santiago de Compostela, Galicia, Spain; Health Research Institute of Santiago de Compostela (Instituto de Investigación Sanitaria de Santiago de Compostela-IDIS), Santiago de Compostela, Galicia, Spain; Consortium for Biomedical Research in Epidemiology and Public Health (CIBER en Epidemiología y Salud Pública-CIBERESP), Madrid, Spain., Preventive Medicine and Public Health, University of Santiago de Compostela, Santiago de Compostela, Galicia, Spain., Preventive Medicine and Public Health, University of Santiago de Compostela, Santiago de Compostela, Galicia, Spain; Health Research Institute of Santiago de Compostela (Instituto de Investigación Sanitaria de Santiago de Compostela-IDIS), Santiago de Compostela, Galicia, Spain; Consortium for Biomedical Research in Epidemiology and Public Health (CIBER en Epidemiología y Salud Pública-CIBERESP), Madrid, Spain. Electronic address: alberto.ruano@usc.es., Preventive Medicine and Public Health, University of Santiago de Compostela, Santiago de Compostela, Galicia, Spain., Preventive Medicine and Public Health, University of Santiago de Compostela, Santiago de Compostela, Galicia, Spain; Consortium for Biomedical Research in Epidemiology and Public Health (CIBER en Epidemiología y Salud Pública-CIBERESP), Madrid, Spain., Section of General Internal Medicine and National Clinician Scholars Program, Yale School of Medicine, New Haven, CT USA; Department of Health Policy and Management, Yale University School of Public Health, New Haven, CT, USA; Center for Outcomes Research and Evaluation, Yale-New Haven Hospital, New Haven, CT, USA., Preventive Medicine and Public Health, University of Santiago de Compostela, Santiago de Compostela, Galicia, Spain; Health Research Institute of Santiago de Compostela (Instituto de Investigación Sanitaria de Santiago de Compostela-IDIS), Santiago de Compostela, Galicia, Spain; Consortium for Biomedical Research in Epidemiology and Public Health (CIBER en Epidemiología y Salud Pública-CIBERESP), Madrid, Spain."
Suggestions on preparation of medical papers.,S DEBAKEY,No abstract available,No date available,Journal of the American Medical Association,WRITING,"Movement, Paper, Suggestion, Writing",No DOI available,
Additive Manufacturing Technologies for Drug Delivery Applications.,"Abdullah Mohammed, Amr Elshaer, Pooya Sareh, Mahmoud Elsayed, Hany Hassanin","Patient to patient variability is one of the issues when administering medications to individuals with different health conditions, pharmacokinetic, age, fitness, gender, and race. This requires introducing smart and personalised drug delivery systems with controlled release profile manufactured using novel approaches. Additive manufacturing (AM) provides opportunities such as full customisation, design freedom, and on-site manufacturing, and materials recycling. As a result, the academic and industrial demand for additive manufacturing for drug delivery has been continuously increasing and showing impressive results for a wide range of products. This paper provides an extensive overview of AM technologies and their applications for drug delivery. The review discusses AM technologies including their working principles, processed materials, as well as current progress in drug delivery to produce personalized dosages for every patient with controlled release profile. AM potentials, industrial scale, and challenges are investigated with regards to practice and industrial applications. The paper covers novel possibilities of AM technologies and their pharmaceuticals applications, which indicate a promising healthcare future.",2020,International journal of pharmaceutics,"additive manufacturing, drug delivery, personalised mediations, polypill","Delayed-Action Preparations, Drug Delivery Systems, Humans, Pharmaceutical Preparations, Printing, Three-Dimensional, Technology, Pharmaceutical",10.1016/j.ijpharm.2020.119245,"School of Engineering, University of Liverpool, Liverpool, L69 7ZX, UK., Drug Discovery, Delivery and Patient Care (DDDPC), School of Life Sciences, Pharmacy and Chemistry, Kingston University London, Kingston Upon Thames, Surrey, KT1 2EE, UK., School of Engineering, University of Liverpool, Liverpool, L69 7ZX, UK., Department of Industrial Engineering, Arab Academy for Science Technology and Maritime, Alexandria, Egypt., School of Engineering, University of Liverpool, Liverpool, L69 7ZX, UK. Electronic address: h.hassanin@liverpool.ac.uk."
Episiotomy and the medicalization make childbirth worse for women.,Ingela Wiklund,No abstract available,2024,Sexual & reproductive healthcare : official journal of the Swedish Association of Midwives,No keywords,"Humans, Female, Episiotomy, Pregnancy, Parturition, Medicalization, Delivery, Obstetric",10.1016/j.srhc.2024.100977,"Head of School, School of Health and Welfare, Dalarna University, Karolinska Institutet, Department of Clinical Sciences, Sweden. Electronic address: iwi@du.se."
Portable analytical platforms for forensic chemistry: A review.,"William R de Araujo, Thiago M G Cardoso, Raquel G da Rocha, Mário H P Santana, Rodrigo A A Muñoz, Eduardo M Richter, Thiago R L C Paixão, Wendell K T Coltro","This current review article focuses on recent contributions to on-site forensic investigations. Portable and potentially portable methods are presented and critically discussed about (bio)chemical trace analysis and studies performed outside the controlled laboratory environment to rapidly help in crime scene inquiries or forensic intelligence purposes. A wide range of approaches including electrochemical sensors, microchip electrophoresis, ambient ionization on portable mass spectrometers, handheld Raman and NIR instruments as well as and point-of-need devices, like paper-based platforms, for in-field analysis of latent evidences, controlled substances, drug screening, hazards, and others to assist in law enforcements and solving crime more efficiently are highlighted. The covered examples have successfully demonstrated the huge potential of portable devices for on-site applications. Future investigations should consider analytical validation to compete equality and even replace current gold standard methods.",2018,Analytica chimica acta,"Crime scene investigation, Drugs of abuse, Explosives, Forensics, On-site analysis, Point-of-care testing","Electrochemical Techniques, Electrophoresis, Microchip, Forensic Sciences, Illicit Drugs, Paper",10.1016/j.aca.2018.06.014,"Instituto de Química, Universidade de São Paulo, 05508-000, São Paulo, São Paulo, Brazil., Instituto de Química, Universidade Federal de Goiás, Campus Samambaia, 74690-900, Goiânia, Goiás, Brazil., Instituto de Química, Universidade Federal de Uberlândia, 38400-902, Uberlândia, Minas Gerais, Brazil., Unidade Técnico-Científica, Superintendência Regional do Departamento de Polícia Federal em MG, 38408-680, Uberlândia, Minas Gerais, Brazil., Instituto de Química, Universidade Federal de Uberlândia, 38400-902, Uberlândia, Minas Gerais, Brazil., Instituto de Química, Universidade Federal de Uberlândia, 38400-902, Uberlândia, Minas Gerais, Brazil., Instituto de Química, Universidade de São Paulo, 05508-000, São Paulo, São Paulo, Brazil. Electronic address: trlcp@iq.usp.br., Instituto de Química, Universidade Federal de Goiás, Campus Samambaia, 74690-900, Goiânia, Goiás, Brazil. Electronic address: wendell@ufg.br."
Writing papers on surgical subjects.,W WALTERS,No abstract available,No date available,"Mississippi Valley medical journal (Quincy, Ill)",MEDICAL WRITING,"Humans, Medical Writing, Paper, Writing",No DOI available,
[Concepts. Minimally disruptive medicine].,"Eulalia Mariñelarena Mañeru, Laura Balague Gea, Rafael Rotaeche Del Campo","This paper presents some concepts about overdiagnosis and its consequences: overtreatment and the medicalization of the society. It recalls the origin of the term, that comes from the screening and diagnosis of cancer, and it reviews the strategies to overdiagnose. Furthermore, it analyses the conversion of illnesses diagnostic thresholds as well as the transformation of normal and vital processes and risk factors in illnesses. It shows some strategies to confront overdiagnosis at the time of medical consultation, including the management of uncertainty and the shared decision making through the right interpretation of the diagnosis results and treatment estimators. Finally, it shows the minimally disruptive medicine as the best strategy to face the disease burden induced by the overtreatment in patients suffering from multimorbidity.",No date available,Atencion primaria,"Atención centrada en el paciente, Evidence based medicine, Medical overuse, Medicina basada en la evidencia, Multimorbidity, Multimorbilidad, Patient centered care, Sobrediagnóstico","Humans, Medical Overuse, Medicalization, Neoplasms, Risk Factors, Terminology as Topic",10.1016/j.aprim.2018.08.003,"Grupo de Trabajo MBE de Osatzen. Unidad Docente Multiprofesional de Atención Familiar y Comunitaria, Osakidetza, San Sebastián, España., Grupo de Trabajo MBE de Osatzen. Punto de Atención Continuada (PAC), Centro de Salud de Hernani, OSI Donostia, Osakidetza, Hernani, España., Grupo de Trabajo MBE de la semFYC. Centro de Salud de Alza, OSI Donostia, Osakidetza, San Sebastián, España. Electronic address: rrotaeche@gmail.com."
"Pharmaceutical cocrystals, salts and polymorphs: Advanced characterization techniques.","Edyta Pindelska, Agnieszka Sokal, Waclaw Kolodziejski","The main goal of a novel drug development is to obtain it with optimal physiochemical, pharmaceutical and biological properties. Pharmaceutical companies and scientists modify active pharmaceutical ingredients (APIs), which often are cocrystals, salts or carefully selected polymorphs, to improve the properties of a parent drug. To find the best form of a drug, various advanced characterization methods should be used. In this review, we have described such analytical methods, dedicated to solid drug forms. Thus, diffraction, spectroscopic, thermal and also pharmaceutical characterization methods are discussed. They all are necessary to study a solid API in its intrinsic complexity from bulk down to the molecular level, gain information on its structure, properties, purity and possible transformations, and make the characterization efficient, comprehensive and complete. Furthermore, these methods can be used to monitor and investigate physical processes, involved in the drug development, in situ and in real time. The main aim of this paper is to gather information on the current advancements in the analytical methods and highlight their pharmaceutical relevance.",2017,Advanced drug delivery reviews,"Active pharmaceutical ingredient, Crystallographic studies, Drug, NMR crystallography, Solubility, Spectroscopic characterization, Stability, Thermal analysis","Calorimetry, Differential Scanning, Crystallization, Molecular Structure, Pharmaceutical Preparations, Salts, Thermogravimetry",10.1016/j.addr.2017.09.014,"Medical University of Warsaw, Faculty of Pharmacy with the Laboratory Medicine Division, Department of Inorganic and Analytical Chemistry, Banacha 1, 02-093 Warsaw, Poland., Medical University of Warsaw, Faculty of Pharmacy with the Laboratory Medicine Division, Department of Inorganic and Analytical Chemistry, Banacha 1, 02-093 Warsaw, Poland., Medical University of Warsaw, Faculty of Pharmacy with the Laboratory Medicine Division, Department of Inorganic and Analytical Chemistry, Banacha 1, 02-093 Warsaw, Poland. Electronic address: waclaw.kolodziejski@wum.edu.pl."
The concept of medicalisation reassessed.,Joan Busfield,"Medicalisation has been an important concept in sociological discussions of medicine since its adoption by medical sociologists in the early 1970s. Yet it has been criticised by some sociologists, in part because it seems too negative about medicine, and modified or replaced by others with concepts deemed more relevant like biomedicalisation and pharmaceuticalisation. My aim in this paper is to reassess the concept and consider whether it still has value in exploring significant aspects of the role of medicine in present-day society. I start with an archaeology of the concept's development and the different ways it has been used. This covers some familiar ground but is essential to the main task: examining criticisms of the concept and assessing its value. I conclude that the concept continues to have a crucial and productive place in sociological analyses of medicine and that the process of medicalisation is still a key feature of late-modern social life and culture.",2017,Sociology of health & illness,"medical practice/medical work, medicalisation, pharmaceuticals/pharmaceutical companies, power, professions/professionalisation","History, 20th Century, History, 21st Century, Humans, Medicalization, Power, Psychological, Sociology, Medical",10.1111/1467-9566.12538,"Department of Sociology, University of Essex, UK."
In vivo deposition of poorly soluble drugs.,"Zhaohuan Lou, Chaofeng Mu, Clairissa D Corpstein, Tonglei Li","Administered drug molecules, whether dissolved or solubilized, have the potential to precipitate and accumulate as solid forms in tissues and cells within the body. This phase transition can significantly impact the pharmacokinetics of treatment. It is thus crucial to gain an understanding of how drug solubility/permeability, drug formulations and routes of administration affect in vivo behaviors of drug deposition. This review examines literature reports on the drug deposition in tissues and cells of poorly water-soluble drugs, as well as underlying physical mechanisms that lead to precipitation. Our work particularly highlights drug deposition in macrophages and the subcellular fate of precipitated drugs. We also propose a tissue permeability-based classification framework to evaluate precipitation potentials of poorly soluble drugs in major organs and tissues. The impact on pharmacokinetics is further discussed and needs to be considered in developing drug delivery systems. Finally, bioimaging techniques that are used to examine aggregated states and the intracellular trafficking of absorbed drugs are summarized.",2024,Advanced drug delivery reviews,"Bioimaging, Drug precipitation, Lipophilic drug, Lysosomal-trapping, Macrophage sequestration, Tissue permeability","Humans, Solubility, Pharmaceutical Preparations, Animals, Drug Delivery Systems, Tissue Distribution, Permeability",10.1016/j.addr.2024.115358,"School of Pharmaceutical Sciences, Zhejiang Chinese Medical University, Zhejiang, Hangzhou 310053, China; Department of Industrial and Physical Pharmacy, College of Pharmacy, Purdue University, 575 Stadium Mall Drive, West Lafayette, IN 47906, USA., School of Pharmaceutical Sciences, Zhejiang Chinese Medical University, Zhejiang, Hangzhou 310053, China., Department of Industrial and Physical Pharmacy, College of Pharmacy, Purdue University, 575 Stadium Mall Drive, West Lafayette, IN 47906, USA., Department of Industrial and Physical Pharmacy, College of Pharmacy, Purdue University, 575 Stadium Mall Drive, West Lafayette, IN 47906, USA. Electronic address: tonglei@purdue.edu."
Modular design principle based on compartmental drug delivery systems.,"Georgios K Eleftheriadis, Natalja Genina, Johan Boetker, Jukka Rantanen","The current manufacturing solutions for oral solid dosage forms are fundamentally based on technologies from the 19th century. This approach is well suited for mass production of one-size-fits-all products; however, it does not allow for a straight-forward personalization and mass customization of the pharmaceutical end-product. In order to provide better therapies to the patients, a need for innovative manufacturing concepts and product design principles has been rising. Additive manufacturing opens up a possibility for compartmentalization of drug products, including design of spatially separated multidrug and functional excipient compartments. This compartmentalized solution can be further expanded to modular design thinking. Modular design is referring to combination of building blocks containing a given amount of drug compound(s) and related functional excipients into a larger final product. Implementation of modular design principles is paving the way for implementing the emerging personalization potential within health sciences by designing compartmental and reactive product structures that can be manufactured based on the individual needs of each patient. This review will introduce the existing compartmentalized product design principles and discuss the integration of these into edible electronics allowing for innovative control of drug release.",2021,Advanced drug delivery reviews,"3D printing, Additive manufacturing, Compartmental systems, Digital reconstruction, Drug delivery, Ingestible electronics, Intellectual property, Modular systems, Smart medications","Drug Delivery Systems, Drug Design, Drug Liberation, Humans, Pharmaceutical Preparations, Technology, Pharmaceutical",10.1016/j.addr.2021.113921,"Department of Pharmacy, Aristotle University of Thessaloniki, GR-54124 Thessaloniki, Greece., Department of Pharmacy, Faculty of Health and Medical Sciences, University of Copenhagen, DK-2100 Copenhagen, Denmark., Department of Pharmacy, Faculty of Health and Medical Sciences, University of Copenhagen, DK-2100 Copenhagen, Denmark., Department of Pharmacy, Faculty of Health and Medical Sciences, University of Copenhagen, DK-2100 Copenhagen, Denmark. Electronic address: jukka.rantanen@sund.ku.dk."
The preparation of papers for the medical journals.,W R BETT,No abstract available,No date available,Cyprus medical journal,PERIODICALS,"Humans, Paper, Periodicals as Topic",No DOI available,
MEDICAL paper.,No authors listed,No abstract available,No date available,"Western journal of surgery, obstetrics, and gynecology",WRITING,"Humans, Movement, Paper, Writing",No DOI available,No affiliations available
Discussion of papers on medical writing as we would like it; from bibliographer's and indexer's viewpoint.,R C POGGE,No abstract available,No date available,"Mississippi Valley medical journal (Quincy, Ill)","BIBLIOGRAPHY, WRITING","Bibliographies as Topic, Medical Writing, Movement, Paper, Writing",No DOI available,
Metabolic activation of carboxylic acids.,"Christian Skonberg, Jørgen Olsen, Kim Grimstrup Madsen, Steen Honoré Hansen, Mark P Grillo","Carboxylic acids constitute a large and heterogeneous class of both endogenous and xenobiotic compounds. A number of carboxylic acid drugs have been associated with adverse reactions, linked to the metabolic activation of the carboxylic acid moiety of the compounds, i.e., formation of acyl-glucuronides and acyl-CoA thioesters.",No date available,Expert opinion on drug metabolism & toxicology,No keywords,"Acyl Coenzyme A, Animals, Biotransformation, Carboxylic Acids, Glucuronides, Humans, Molecular Structure, Pharmaceutical Preparations, Xenobiotics",10.1517/17425255.4.4.425,"University of Copenhagen, Department of Pharmaceutics and Analytical Chemistry, Faculty of Pharmaceutical Sciences, Universitetsparken 2, 2100 Copenhagen, Denmark. cs@farma.ku.dk"
